Loss$,Group,CnaeSession,Uf,FundationDate,Equity,RefYearMonth,,,,
0,G2,OUTRAS ATIVIDADES DE SERVIÇOS,RJ,1998,2320000,201803,,,,
0,G3,INFORMAÇÃO E COMUNICAÇÃO,SC,1991,5320000,201803,,,,
"10,000,00",G4,ALOJAMENTO E ALIMENTAÇÃO,DF,2015,2320000,201708,,,,
0,G4,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",PR,1990,1500000,201806,,,,
0,G2,OUTRAS ATIVIDADES DE SERVIÇOS,AL,1998,1500000,201712,,,,
0,G1,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",PE,1998,7320000,201708,,,,
0,G2,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",SC,1998,1000000,201707,,,,
0,G3,ELETRICIDADE E GÁS,ES,1998,2320000,201710,,,,
0,G5,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",PB,1998,1000000,201707,,,,
"20,000,00",G1,ATIVIDADES IMOBILIÁRIAS,MA,1992,5320000,201806,,,,
0,G5,INDÚSTRIAS EXTRATIVAS,SE,2015,7320000,201709,,,,
"1,000,00",G5,EDUCAÇÃO,PA,1998,5320000,201707,,,,
0,G1,CONSTRUÇÃO,PI,2015,2320000,201710,,,,
"10,000,00",G5,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",PE,2001,500000,201709,,,,
0,G4,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",SE,2001,5320000,201806,,,,
0,G5,INDÚSTRIAS DE TRANSFORMAÇÃO,PE,1998,5320000,201804,,,,
0,G1,ELETRICIDADE E GÁS,SC,1997,1000000,201801,,,,
0,G2,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,AP,1991,500000,201803,,,,
0,G3,ELETRICIDADE E GÁS,MA,1993,1500000,201709,,,,
0,G5,EDUCAÇÃO,RJ,2015,15320000,201710,,,,
"20,000,00",G1,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,TO,2015,500000,201802,,,,
0,G1,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",MT,2015,500000,201710,,,,
"10,000,00",G1,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",RJ,1992,2320000,201803,,,,
0,G1,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,AC,1997,2320000,201801,,,,
0,G4,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",MT,2016,500000,201711,,,,
0,G5,INDÚSTRIAS DE TRANSFORMAÇÃO,SE,1996,5320000,201707,,,,
0,G1,CONSTRUÇÃO,MS,2015,7320000,201706,,,,
0,G3,INDÚSTRIAS DE TRANSFORMAÇÃO,TO,1991,1500000,201709,,,,
0,G4,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",RS,2010,15320000,201806,,,,
0,G2,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",AC,2001,5320000,201803,,,,
0,G2,INFORMAÇÃO E COMUNICAÇÃO,AL,1996,2320000,201803,,,,
0,G3,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",MA,1998,5320000,201710,,,,
"2,000,00",G4,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",RO,1998,500000,201802,,,,
"10,000,00",G2,INFORMAÇÃO E COMUNICAÇÃO,MS,1993,5320000,201804,,,,
0,G4,INFORMAÇÃO E COMUNICAÇÃO,MG,2010,2320000,201711,,,,
"20,000,00",G2,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",MA,1998,5320000,201803,,,,
0,G4,ELETRICIDADE E GÁS,RO,2016,15320000,201806,,,,
0,G3,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,AL,1998,1000000,201804,,,,
0,G1,ELETRICIDADE E GÁS,RJ,1997,5320000,201806,,,,
0,G3,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,RR,1987,2320000,201803,,,,
0,G3,INDÚSTRIAS EXTRATIVAS,RS,1996,15320000,201708,,,,
0,G3,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,PA,1996,1500000,201709,,,,
0,G1,ALOJAMENTO E ALIMENTAÇÃO,MS,1998,2320000,201801,,,,
"10,000,00",G5,EDUCAÇÃO,BA,1998,1500000,201801,,,,
0,G1,SERVIÇOS DOMÉSTICOS,BA,1998,2320000,201803,,,,
"20,000,00",G5,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,TO,1993,500000,201710,,,,
"2,000,00",G2,EDUCAÇÃO,RR,1998,500000,201804,,,,
0,G3,ELETRICIDADE E GÁS,RJ,1998,2320000,201711,,,,
0,G1,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",CE,2015,15320000,201804,,,,
0,G1,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",AP,1993,2320000,201805,,,,
"10,000,00",G2,INFORMAÇÃO E COMUNICAÇÃO,SP,1998,15320000,201804,,,,
0,G2,ALOJAMENTO E ALIMENTAÇÃO,SE,1996,5320000,201712,,,,
"1,000,00",G3,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",AP,1998,1000000,201804,,,,
0,G1,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,AM,1991,2320000,201706,,,,
"1,000,00",G4,"TRANSPORTE, ARMAZENAGEM E CORREIO",RR,1998,1000000,201712,,,,
"2,000,00",G1,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",AP,1998,2320000,201710,,,,
0,G5,EDUCAÇÃO,PA,1992,5320000,201706,,,,
0,G1,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,PE,1992,2320000,201709,,,,
0,G4,ATIVIDADES IMOBILIÁRIAS,MT,1998,5320000,201805,,,,
0,G5,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",RR,1996,15320000,201709,,,,
"1,000,00",G5,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,AM,2015,2320000,201709,,,,
0,G1,INFORMAÇÃO E COMUNICAÇÃO,RO,1996,1500000,201706,,,,
0,G1,INFORMAÇÃO E COMUNICAÇÃO,MG,1996,2320000,201708,,,,
"10,000,00",G2,"TRANSPORTE, ARMAZENAGEM E CORREIO",MS,1992,15320000,201708,,,,
"1,000,00",G3,ATIVIDADES IMOBILIÁRIAS,MG,1992,1500000,201706,,,,
0,G4,INDÚSTRIAS DE TRANSFORMAÇÃO,BA,1996,1500000,201804,,,,
0,G4,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,PB,1990,15320000,201711,,,,
"500,00",G5,"TRANSPORTE, ARMAZENAGEM E CORREIO",AL,2015,1000000,201711,,,,
0,G3,ATIVIDADES IMOBILIÁRIAS,PR,2016,5320000,201707,,,,
0,G3,SERVIÇOS DOMÉSTICOS,MG,1998,7320000,201712,,,,
0,G2,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,PE,2016,2320000,201706,,,,
0,G5,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,TO,2001,1000000,201706,,,,
0,G4,ATIVIDADES IMOBILIÁRIAS,PE,1998,2320000,201806,,,,
"1,000,00",G2,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",DF,1998,5320000,201801,,,,
0,G3,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",RJ,1998,2320000,201710,,,,
"1,000,00",G3,INFORMAÇÃO E COMUNICAÇÃO,GO,2015,5320000,201710,,,,
0,G5,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,TO,1996,5320000,201805,,,,
0,G3,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",CE,1998,2320000,201707,,,,
0,G3,INDÚSTRIAS DE TRANSFORMAÇÃO,AM,2015,1500000,201710,,,,
0,G3,CONSTRUÇÃO,MG,2015,1000000,201801,,,,
0,G1,INDÚSTRIAS EXTRATIVAS,SP,1996,7320000,201712,,,,
0,G4,INFORMAÇÃO E COMUNICAÇÃO,DF,2015,1000000,201711,,,,
0,G3,SERVIÇOS DOMÉSTICOS,SC,1998,5320000,201708,,,,
0,G4,"TRANSPORTE, ARMAZENAGEM E CORREIO",AL,1991,5320000,201707,,,,
0,G5,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",RR,1990,5320000,201706,,,,
0,G3,ELETRICIDADE E GÁS,SC,2015,2320000,201802,,,,
0,G2,OUTRAS ATIVIDADES DE SERVIÇOS,RR,1998,2320000,201707,,,,
0,G4,ELETRICIDADE E GÁS,RS,2015,1000000,201708,,,,
"1,000,00",G2,ELETRICIDADE E GÁS,SP,1991,5320000,201803,,,,
0,G1,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",ES,1998,5320000,201805,,,,
0,G3,ELETRICIDADE E GÁS,MS,1998,5320000,201709,,,,
"2,000,00",G1,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,SP,1992,2320000,201706,,,,
0,G4,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",BA,1998,5320000,201802,,,,
"2,000,00",G3,ATIVIDADES IMOBILIÁRIAS,MG,1996,1000000,201711,,,,
0,G4,SAÚDE HUMANA E SERVIÇOS SOCIAIS,RJ,1996,1000000,201708,,,,
0,G1,"TRANSPORTE, ARMAZENAGEM E CORREIO",PA,1997,500000,201804,,,,
0,G3,OUTRAS ATIVIDADES DE SERVIÇOS,PB,2010,15320000,201803,,,,
"2,000,00",G2,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",PB,1997,7320000,201706,,,,
0,G4,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",SP,1997,1000000,201801,,,,
0,G2,ELETRICIDADE E GÁS,CE,2001,1500000,201804,,,,
0,G5,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",SE,1996,1000000,201804,,,,
0,G5,INFORMAÇÃO E COMUNICAÇÃO,GO,2015,2320000,201706,,,,
"500,00",G4,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",AM,1997,5320000,201711,,,,
"500,00",G2,OUTRAS ATIVIDADES DE SERVIÇOS,AP,1991,1000000,201706,,,,
"500,00",G2,SAÚDE HUMANA E SERVIÇOS SOCIAIS,CE,1987,500000,201706,,,,
"20,000,00",G5,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",PB,1998,2320000,201802,,,,
0,G4,ALOJAMENTO E ALIMENTAÇÃO,DF,2015,1500000,201709,,,,
0,G5,SERVIÇOS DOMÉSTICOS,MA,2015,2320000,201803,,,,
0,G1,INDÚSTRIAS DE TRANSFORMAÇÃO,AL,1998,1500000,201802,,,,
0,G3,OUTRAS ATIVIDADES DE SERVIÇOS,CE,2010,500000,201805,,,,
0,G4,"TRANSPORTE, ARMAZENAGEM E CORREIO",BA,2015,2320000,201801,,,,
"1,000,00",G4,ALOJAMENTO E ALIMENTAÇÃO,BA,1987,2320000,201706,,,,
0,G4,EDUCAÇÃO,PB,1998,1000000,201710,,,,
"1,000,00",G2,OUTRAS ATIVIDADES DE SERVIÇOS,AP,1993,2320000,201803,,,,
0,G1,ATIVIDADES IMOBILIÁRIAS,MT,1998,1000000,201709,,,,
0,G2,ATIVIDADES IMOBILIÁRIAS,RS,2016,1500000,201801,,,,
0,G4,OUTRAS ATIVIDADES DE SERVIÇOS,MA,1998,5320000,201804,,,,
0,G3,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,PE,1996,15320000,201708,,,,
0,G2,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",AL,1998,7320000,201709,,,,
"10,000,00",G2,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",ES,1992,5320000,201710,,,,
0,G5,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",RN,1998,2320000,201710,,,,
0,G4,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,MA,2001,1000000,201801,,,,
0,G3,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",AC,1987,1500000,201801,,,,
0,G4,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",BA,2015,2320000,201806,,,,
"2,000,00",G3,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",RO,1997,5320000,201710,,,,
"20,000,00",G3,ELETRICIDADE E GÁS,CE,1993,2320000,201707,,,,
"500,00",G1,"TRANSPORTE, ARMAZENAGEM E CORREIO",GO,1997,15320000,201711,,,,
"2,000,00",G1,"TRANSPORTE, ARMAZENAGEM E CORREIO",AC,1998,2320000,201709,,,,
0,G3,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",RO,1993,2320000,201711,,,,
"10,000,00",G5,INFORMAÇÃO E COMUNICAÇÃO,CE,1997,2320000,201710,,,,
0,G1,ELETRICIDADE E GÁS,MG,1992,5320000,201801,,,,
0,G3,INFORMAÇÃO E COMUNICAÇÃO,MS,2015,7320000,201709,,,,
"1,000,00",G3,ELETRICIDADE E GÁS,AP,2016,2320000,201804,,,,
"500,00",G5,SAÚDE HUMANA E SERVIÇOS SOCIAIS,PA,1998,1500000,201805,,,,
"10,000,00",G2,"TRANSPORTE, ARMAZENAGEM E CORREIO",MT,1993,1500000,201804,,,,
0,G1,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,RS,1996,2320000,201707,,,,
"500,00",G2,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",PR,1998,1000000,201801,,,,
0,G1,INFORMAÇÃO E COMUNICAÇÃO,MS,1987,2320000,201806,,,,
0,G4,ALOJAMENTO E ALIMENTAÇÃO,ES,1991,7320000,201806,,,,
"20,000,00",G2,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",PE,2015,5320000,201712,,,,
"10,000,00",G4,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",PI,1996,5320000,201708,,,,
0,G1,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",TO,1998,500000,201710,,,,
0,G4,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,BA,1997,2320000,201711,,,,
0,G5,INDÚSTRIAS EXTRATIVAS,PE,1996,500000,201806,,,,
0,G1,EDUCAÇÃO,BA,1998,500000,201707,,,,
0,G3,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",PB,1990,1500000,201806,,,,
0,G4,ALOJAMENTO E ALIMENTAÇÃO,AP,1998,2320000,201805,,,,
0,G1,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,RS,1998,500000,201804,,,,
"20,000,00",G3,EDUCAÇÃO,RN,1997,2320000,201805,,,,
0,G5,ALOJAMENTO E ALIMENTAÇÃO,RN,1996,2320000,201803,,,,
"10,000,00",G4,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",RO,1998,500000,201803,,,,
0,G4,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",AC,1987,2320000,201707,,,,
0,G1,INFORMAÇÃO E COMUNICAÇÃO,MT,2015,5320000,201803,,,,
0,G5,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,MS,1998,2320000,201711,,,,
0,G4,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,AM,1987,7320000,201708,,,,
0,G2,ALOJAMENTO E ALIMENTAÇÃO,GO,2010,15320000,201806,,,,
0,G2,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",BA,1993,15320000,201801,,,,
"1,000,00",G3,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",ES,2010,1000000,201710,,,,
0,G3,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,AL,2001,1500000,201805,,,,
0,G1,ELETRICIDADE E GÁS,RJ,1997,2320000,201806,,,,
0,G5,INFORMAÇÃO E COMUNICAÇÃO,RR,1996,7320000,201711,,,,
"2,000,00",G5,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",SP,1998,1500000,201804,,,,
0,G3,SERVIÇOS DOMÉSTICOS,MG,2001,5320000,201709,,,,
0,G2,SAÚDE HUMANA E SERVIÇOS SOCIAIS,AM,1997,2320000,201710,,,,
0,G3,EDUCAÇÃO,PB,1993,2320000,201706,,,,
0,G1,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,PA,1991,7320000,201708,,,,
"2,000,00",G2,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",RN,1998,5320000,201803,,,,
0,G1,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,PB,1993,5320000,201710,,,,
0,G1,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",PE,1992,1000000,201706,,,,
0,G1,"TRANSPORTE, ARMAZENAGEM E CORREIO",RS,1998,2320000,201804,,,,
0,G5,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",AP,1990,1500000,201710,,,,
0,G1,OUTRAS ATIVIDADES DE SERVIÇOS,MT,1998,1000000,201802,,,,
0,G2,EDUCAÇÃO,PR,2010,7320000,201706,,,,
0,G4,ATIVIDADES IMOBILIÁRIAS,PA,1990,1500000,201801,,,,
0,G3,ELETRICIDADE E GÁS,RS,1993,15320000,201709,,,,
0,G3,EDUCAÇÃO,TO,1998,2320000,201711,,,,
"500,00",G1,"TRANSPORTE, ARMAZENAGEM E CORREIO",SP,1997,2320000,201801,,,,
0,G5,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,MA,1998,5320000,201802,,,,
0,G5,EDUCAÇÃO,PA,1998,2320000,201709,,,,
0,G3,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,SC,1998,1000000,201711,,,,
0,G1,SAÚDE HUMANA E SERVIÇOS SOCIAIS,RJ,1998,5320000,201802,,,,
"2,000,00",G4,INFORMAÇÃO E COMUNICAÇÃO,PA,1998,1500000,201801,,,,
0,G1,OUTRAS ATIVIDADES DE SERVIÇOS,RN,1996,5320000,201802,,,,
0,G5,INDÚSTRIAS EXTRATIVAS,DF,1998,15320000,201805,,,,
0,G1,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,MS,1987,15320000,201712,,,,
0,G3,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",PR,2001,7320000,201706,,,,
0,G1,INDÚSTRIAS DE TRANSFORMAÇÃO,SP,1998,500000,201804,,,,
0,G1,ELETRICIDADE E GÁS,SE,1998,7320000,201709,,,,
0,G4,SERVIÇOS DOMÉSTICOS,MS,2010,7320000,201805,,,,
"10,000,00",G2,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",RJ,1987,1000000,201712,,,,
0,G5,INFORMAÇÃO E COMUNICAÇÃO,RS,1997,1000000,201804,,,,
0,G1,CONSTRUÇÃO,RR,1998,5320000,201709,,,,
0,G3,ATIVIDADES IMOBILIÁRIAS,MG,1998,5320000,201805,,,,
0,G2,SERVIÇOS DOMÉSTICOS,RS,1996,5320000,201708,,,,
"1,000,00",G2,CONSTRUÇÃO,AL,2015,5320000,201806,,,,
0,G1,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",PA,1997,1500000,201712,,,,
0,G1,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,SE,2015,2320000,201711,,,,
"1,000,00",G3,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",GO,1998,1000000,201805,,,,
"500,00",G4,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",GO,2015,2320000,201710,,,,
0,G4,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",RR,1987,2320000,201711,,,,
0,G2,ELETRICIDADE E GÁS,PA,1998,2320000,201803,,,,
0,G3,SAÚDE HUMANA E SERVIÇOS SOCIAIS,RO,1993,2320000,201711,,,,
"500,00",G1,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",DF,1998,500000,201712,,,,
"2,000,00",G4,SAÚDE HUMANA E SERVIÇOS SOCIAIS,GO,2015,500000,201708,,,,
"1,000,00",G4,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,MA,2001,1000000,201805,,,,
0,G2,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,SC,1998,7320000,201707,,,,
0,G4,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,SC,2016,1000000,201711,,,,
0,G1,EDUCAÇÃO,BA,1998,1500000,201804,,,,
0,G1,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",MT,1997,2320000,201710,,,,
0,G5,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,RR,1990,1000000,201711,,,,
0,G4,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,RJ,1998,7320000,201708,,,,
0,G5,SAÚDE HUMANA E SERVIÇOS SOCIAIS,SC,1998,5320000,201710,,,,
0,G5,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",SP,1998,500000,201804,,,,
